kata_tidak_baku,kata_baku
setingan,pengaturan
etol,e-toll
crashdiam,macet diam
option,pilihan
pda,pada
ditahun,di tahun
great,bagus
mulumana,terus mana
pln,PLN
koplak,lucu
kaka,kakak
ngerti,mengerti
penelusuranya,penelusurannya
goegle,Google
palm,palem
trip,perjalanan
every,setiap
team,tim
clean,bersih
always,selalu
consistent,konsisten
updt,pembaruan
boz,bos
ditunjukan,ditunjukkan
nembus,menembus
engak,tidak
je,saja
sound,suara
sich,sih
dikasi,dikasih
la,lah
mh,mas
do,lakukan
brt,berarti
bkn,bukan
bis,bus
mpas,mpasi
dsn,dusun
kenyatan,kenyataan
erortidak,eror tidak
ank,anak
responya,responsnya
butut,jelek
haduh,aduh
oj,jangan
edan,gila
ra,tidak
aplkasi,aplikasi
aplikasih,aplikasi
hapy,happy
oye,oke
mnt,minta
sayasaya,saya saya
gnti,ganti
cba,coba
smpai,sampai
kmn,kemana
maen,main
kelar,selesai
prnh,pernah
gogles,google
walupun,walaupun
bi,biar
gx,tidak
thks,thanks
kntl,kontol
mantule,mantap
arahinya,arahannya
cash,tunai
tlol,tolol
gole,google
v,versi
utuk,untuk
jabar,jawa barat
poke,panggil
ulah,jangan
ti,dari
teh,itu
mintak,minta
kilo,kilometer
mnta,minta
ikn,ibu kota nusantara
terimaksih,terima kasih
tmbah,tambah
game,permainan
coment,comment
neus,news
nsiduhe,tidak terdeteksi
bm,bahan bakar minyak
telpon,telepon
smnjak,semenjak
nambahin,menambahkan
dak,tidak
sprti,seperti
bsgus,bagus
membagongkan,membingungkan
habisin,habiskan
tampa,tanpa
ngebahayain,membahayakan
wel,well
dibawah,di bawah
ngikuti,mengikuti
spt,seperti
pencarianya,pencariannya
sep,september
semuga,semoga
kalu,kalau
chek,check
sndiri,sendiri
sudh,sudah
ampe,sampai
kdang,kadang
tanga,tangga
sbg,sebagai
jendral,jenderal
abg,anak baru gede
seing,sering
jk,jika
pata,patah
mhn,mohon
diotak,di otak
mindahin,memindahkan
nyetir,menyetir
stag,stagnan
muantab,mantap
diy,daerah istimewa yogyakarta
dihp,di ponsel
notif,notifikasi
pelangan,pelanggan
merk,merek
palestine,palestina
kekanan,ke kanan
cs,customer service
blon,belum
dasarblon,dasar belum
sring,sering
akuratkita,akurat kita
sampei,sampai
ngelek,lag
singkron,sinkron
enakan,lebih enak
photo,foto
dimasukan,dimasukkan
dikiri,di kiri
kordinasi,koordinasi
club,klub
atw,atau
aq,aku
dongo,dungu
family,keluarga
segara,segera
gougle,google
lola,lambat
anjg,anjing
mant,mantap
gomaps,google maps
pertanyan,pertanyaan
kemaren,kemarin
elculer,tidak terdeteksi
kec,kecamatan
kab,kabupaten
bapuk,jelek
facebok,facebook
ruko,rumah toko
mengupdate,memperbarui
theres,there is
ngawor,ngawur
rendahdi,rendah di
gandos,mantap
amburadul,berantakan
jo,saja
deb,tidak terdeteksi
ksih,kasih
bosquh,bosku
dikala,di kala
anjink,anjing
kesamping,ke samping
logistic,logistik
kerumah,ke rumah
mengzom,memperbesar
marahin,memarahi
komenya,komentarnya
mg,mungkin
akuratselalu,akurat selalu
woke,oke
sesad,sesat
ngelawan,melawan
orgnya,orangnya
mantapsangat,mantap sangat
terimakasi,terima kasih
beraktifitas,beraktivitas
thx,thanks
bgst,bangsat
pergerakanya,pergerakannya
nonton,menonton
xxz,tidak terdeteksi
mapsearth,maps earth
kmu,kamu
track,jalur
suport,dukungan
sja,saja
tangung,tanggung
kebelakang,ke belakang
random,acak
mlu,melulu
kayanya,kayaknya
gblok,goblok
kelen,kalian
tengara,tanda
gp,tidak terdeteksi
tmpat,tempat
report,lapor
menta,minta
nyatolong,nya tolong
load,muat
omon,ngomong
kemon,come on
abuabu,abu-abu
trbantu,terbantu
pa,apa
kebalikanya,kebalikannya
disekitar,di sekitar
teing,tidak tahu
aki,kakek
diperjalanan,di perjalanan
rutejalan,rute jalan
bufering,buffering
puwas,puas
ned,need
station,stasiun
pangilan,panggilan
nyasering,nya sering
ngulang,mengulang
lokasih,lokasi
histori,riwayat
interface,antarmuka
diliat,dilihat
memory,memori
mentreck,melacak
nyuruh,menyuruh
titikny,titiknya
gos,pergi
emng,memang
menbatu,membantu
plat,pelat
mantp,mantap
geogel,google
diupdet,diperbarui
picture,gambar
mps,maps
ngadat,macet
layananya,layanannya
survey,survei
sekrang,sekarang
ngemaps,menggunakan peta
sasarkan,sesatkan
engk,enggak
kdng,kadang
tambain,tambahkan
gud,good
lenek,tidak terdeteksi
berpungsi,berfungsi
doank,saja
conect,connect
sanagat,sangat
user,pengguna
sharing,berbagi
dupdate,diperbarui
bln,bulan
yok,ayo
sesatin,sesatkan
fastest,tercepat
updates,pembaruan
kost,indekos
loding,memuat
nemuin,menemukan
bermanpat,bermanfaat
lak,tidak terdeteksi
nampilin,menampilkan
pertigan,pertigaan
kemna,kemana
orangorang,orang-orang
godvery,sangat baik
